matched_concept_id,concept_name,n_rows,n_items_nov,items_nov_mean,items_nov_std,items_nov_median,items_nov_composite
c97355855,Thermodynamics,3375923,1829886,-0.2685275600831762,1.789804824460736,0.07373787830838645,0.08943340480897105
c140793950,Animal Science,672793,321051,0.08185129103266349,1.7154023447766802,0.462539833821818,0.42493175998799954
c105795698,Statistics,5007056,2136920,-0.4648107705575081,2.03695724839098,-0.14849345025554034,-0.057419320879312064
c78458016,Evolutionary Biology,1049456,469867,-0.25535165604110593,1.9183262596327337,0.26711478906207925,0.12831359588544083
c117671659,Manufacturing Engineering,278875,57767,-0.49505736176780535,2.1810514813121147,-0.362739209604967,-0.05884706550538238
c131872663,Obstetrics,524866,226365,0.18190874870033152,1.1857550094381266,0.302715111859595,0.41905975058795686
c120314980,Distributed Computing,678477,216423,-1.5524121384262932,2.157567944837339,-1.62142628186396,-1.1208985494588255
c1965285,Earth Science,147195,44149,0.10724235695678788,1.6398181184072695,0.3721870382301914,0.4352059806382418
c159047783,Virology,1373001,686899,0.7456516788079788,1.1014138970717218,0.8147307393226806,0.9659344582223232
c178802073,Aeronautics,338209,39585,-0.5769599950958393,2.381294135260485,-0.207120239687497,-0.10070116804374224
c16685009,Andrology,290474,142309,0.8047199538523969,1.2502227285921665,1.042819175943717,1.0547644995708303
c60644358,Bioinformatics,478006,283967,1.0737594056178568,0.9854443934847631,1.14994890434067,1.2708482843148095
c98274493,Pharmacology,1660421,845678,1.1553499857984222,0.9487962936234731,1.2034279925900457,1.3451092445231168
c112930515,Risk Analysis (Engineering),580606,164545,0.1391545559217596,1.9424320616861364,0.371706264886252,0.5276409682589869
c90924648,Gastroenterology,1206753,545424,0.5077298425363316,0.9802606245577483,0.603601343059111,0.7037819674478812
c187320778,Geotechnical Engineering,1618411,667722,-0.3700835520691284,1.9098532678480884,0.01185687496478048,0.011887101500489272
c41999313,Molecular Physics,136402,106875,0.2718538553097909,1.0393376247465678,0.40757526675679107,0.4797213802591045
c107872376,Environmental Chemistry,874210,525446,0.7049127444706135,1.2399986059562476,0.8336639264374601,0.952912465661863
c16005928,Dermatology,604388,255788,0.1630581456374531,1.5478423646899837,0.4551505608566264,0.47262661857544985
c44870925,Astrophysics,762685,344562,-1.0814641996563727,1.87134758804139,-0.6948055844293446,-0.7071946820480948
c159467904,Chemical Physics,395369,299486,0.732635544445662,0.8888778171549433,0.7254242713299336,0.9104111078766507
c100970517,Physical Geography,350096,152004,0.19599435873210447,1.2923070025364927,0.4361254817488479,0.454455759239403
c177322064,Radiochemistry,118191,60113,0.1933940347421281,2.0528343547465417,0.6410664609988976,0.6039609056914365
c200601418,Reliability Engineering,502409,151189,-0.919980332562451,2.2078655547493584,-0.698707272826259,-0.4784072216125793
c165205528,Seismology,578874,218408,-0.8640890450928005,1.9300521053384863,-0.43184063370635833,-0.4780786240251032
c512399662,Family Medicine,1321369,593146,0.15524203047602841,1.3052773343104098,0.27087453714063103,0.4162974973381104
c77595967,Forensic Engineering,376568,62747,-0.808610278232533,2.3672349549846072,-0.42306924538870694,-0.3351632872356115
c179104552,Inorganic Chemistry,1099742,794211,0.4944490024555821,1.1166671681307476,0.542028526364828,0.7177824360817316
c191897082,Metallurgy,3343668,1848785,-0.0856478037835049,1.6012072583397228,0.20250255942346787,0.2345936478844397
c21547014,Operations Management,932210,250810,-0.7611453071938952,2.163690797657146,-0.5805084800464011,-0.3284071476624659
c18903297,Ecology,5998522,2906091,0.19513092169544638,1.6288729317665225,0.4859093448325687,0.5209055080487509
c21951064,Combinatorial Chemistry,635378,406867,0.6505757150110049,1.2766680069542946,0.746740081866004,0.9059093164018638
c201995342,Systems Engineering,750199,200951,-0.5049797421372998,2.1893749031850303,-0.267962949169693,-0.06710476150029371
c6557445,Agronomy,1725076,729494,-0.09430299746526437,1.7339816519862468,0.3176798630684937,0.252493332931985
c28826006,Applied Mathematics,990144,496794,-1.371935689598583,2.082700417460315,-1.46431486093912,-0.95539560610652
c170154142,Architectural Engineering,422356,92730,-0.5569210959262204,2.195820033630281,-0.314426981956815,-0.11775708920016414
c183696295,Biochemical Engineering,164956,75550,0.9915186477644398,1.3584885083318703,1.1320418937077403,1.263216349430814
c187212893,Pediatrics,1161009,566476,0.3496198473579202,1.046291424465801,0.408139621280655,0.5588781322510804
c75473681,Photochemistry,478169,384779,0.6977613961887376,0.9667305760487284,0.6623013828471128,0.8911075113984832
c159390177,Soil Science,590315,303565,-0.0322028855067404,1.6634192105040126,0.33772781442413374,0.30048095659406215
c126322002,Internal Medicine,12850630,6189179,0.5116837651162742,1.2107115550752086,0.67569233221008,0.7538260761313159
c8058405,Geophysics,289016,127958,-0.5750450167273573,1.7805364695199934,-0.17935124703949842,-0.2189377228233586
c19527891,Medical Physics,274770,97939,-0.01897171244077476,1.8205715527942667,0.261145497131287,0.34514259811807857
c2989005,Nuclear Medicine,548475,284068,-0.008467939162034345,1.612083405439835,0.21953070657889084,0.31394874192593264
c61696701,Engineering Physics,267703,85273,-0.0336282624023085,1.636113393944314,0.32975288983786116,0.2935944163865543
c107053488,Construction Engineering,136394,22191,-0.7188389699658315,2.306357603815793,-0.40068084919011054,-0.2575674492026729
c87355193,Astrobiology,466178,122189,0.1591172208725671,1.6011278727856144,0.31053923397407374,0.47934279542969005
c1276947,Astronomy,1556938,607609,-0.6929536767472739,1.9709505622817884,-0.272864654949255,-0.2987635642909162
c55493867,Biochemistry,8396201,4902124,0.751681377077248,1.3915132470061782,0.9459965435446847,1.0299840264784836
c136229726,Biomedical Engineering,441989,262782,1.2413745938303316,1.5172421972767722,1.471493293500017,1.544823033285686
c118552586,Psychiatry,3019448,1566677,0.3635116589534927,1.2982968704562448,0.48759765193208215,0.6231710330447416
c126838900,Radiology,2068342,973529,-0.0022851281408527626,1.5261453114812822,0.14439932326813892,0.3029439341554037
c2524010,Geometry,4731740,1854873,-1.0124232952496561,2.160047602580705,-0.7834696832977692,-0.5804137747335152
c74909509,Gerontology,875768,400074,0.41896969044459426,1.1367011241649643,0.4840367372992631,0.6463099152775871
c29456083,Gynecology,506155,191876,0.14209933661030663,1.221685211278048,0.2943474032176164,0.38643637886591625
c556039675,Traditional Medicine,692085,239604,1.004631226434361,1.2763114256260064,1.203877733472087,1.2598935115595624
c11413529,Algorithm,3829238,1388073,-0.9699505761320526,2.2131668402421227,-0.860544370607318,-0.527317208083628
c78762247,Petroleum Engineering,375590,94426,-0.12782130843907172,2.073122909452367,0.26142991146604955,0.28680327345140166
c99508421,Physical Medicine And Rehabilitation,733233,312770,0.2861091053028673,1.4008692020842093,0.4942096448170308,0.5662829457197092
c3079626,Quantum Electrodynamics,127270,73648,-1.0631112743653564,1.4677437705356424,-1.053446579853989,-0.7695625202582279
c177713679,Intensive Care Medicine,1131089,439083,0.3056950699079297,1.136422095966078,0.367653135314246,0.5329794891011453
c545542383,Medical Emergency,597858,235944,0.028060899240623507,1.4002015616242627,0.10441372299936795,0.30810121156547604
c153294291,Meteorology,2081044,822036,-0.18182320991584305,1.82416550782786,0.17672204776495942,0.18300989164972897
c42475967,Operations Research,618717,217011,-0.47467543101261117,2.0554838364848926,-0.3099649651373614,-0.06357866371563264
c119767625,Optometry,198580,64148,-0.46774953465786767,2.2020543240666686,0.2579493262908054,-0.027338669844533925
c109214941,Particle Physics,360845,150619,-1.595755958546595,1.6139218248297693,-2.18613973208276,-1.2729715935806412
c199639397,Engineering Drawing,249584,50409,-0.930633151959571,2.400078629075569,-0.661821681571795,-0.4506174261444571
c49204034,Climatology,579851,265626,-0.21432339813364595,1.529586908160999,0.17240347951959,0.09159398349855388
c70410870,Clinical Psychology,1169786,684888,0.22760414826058326,1.1971124292950432,0.308009679771073,0.4670266341195919
c105702510,Anatomy,1331246,683217,0.20552099256364817,1.6954288574307768,0.5572622824449439,0.5446067640498036
c502942594,Cancer Research,1622884,843925,0.9852582842753462,0.6929915666347841,0.9312709169977447,1.1238565976023032
c95444343,Cell Biology,2315786,1445982,0.9337555985903979,0.7666691186382572,0.8825914319430803,1.0870894223180494
c61434518,General Surgery,468804,169683,-0.47714356916765777,1.4566388259094631,-0.28641971720977294,-0.18581580398576514
c41895202,Linguistics,5391270,1611871,-0.8129546704194834,2.2600987715922347,-0.45491495836384516,-0.36093491610103645
c57879066,Mechanics,1883880,987081,-0.6275959976799326,1.9647325853329776,-0.39212863615572535,-0.234649480613337
c13965031,Nuclear Chemistry,701405,477418,0.8189334691313482,1.233151822293342,0.8779487366548426,1.0655638335900166
c47768531,Development Economics,357762,89916,-0.864884417194111,2.1365227952331525,-0.8694721433104129,-0.4375798581474805
c146978453,Aerospace Engineering,1582884,496529,-0.7180636624953846,2.1311373161155087,-0.429492908516856,-0.29183619927228277
c91586092,Atmospheric Sciences,457738,238384,-0.17288648626946923,1.6383743413034528,0.24728750500055255,0.15478838199122136
c150903083,Biotechnology,710409,375938,1.1305900230532528,1.199069142840918,1.2345591940341378,1.3704038516214365
c59822182,Botany,2718595,1326204,0.34587298991617416,1.5563903091567617,0.582025444750964,0.6571510517475265
c5900021,Petrology,175131,78625,-1.075949639554614,1.9039861993812663,-0.7977476566651382,-0.6951523996783606
c188027245,Polymer Chemistry,704253,495565,0.4261849729659064,1.299432533436354,0.5485514429396829,0.6860714796531773
c62520636,Quantum Mechanics,9631759,4550360,-0.486645766806611,1.9303973635017908,-0.117129303619634,-0.10056629410625278
c66938386,Structural Engineering,1996530,812200,-1.2361544196869063,2.1367056733193266,-1.162276132696747,-0.808813285023041
c505870484,Fishery,791374,382940,0.3201765320150913,1.4876585031776048,0.5332082400927209,0.6177082326506123
c199104240,Marine Engineering,296366,81856,-0.7301491525215783,2.150493172427894,-0.5003715302712235,-0.30005051803599947
c78519656,Mechanical Engineering,4230807,1384032,-0.670878920656393,2.097674335462197,-0.3683047151675837,-0.2513440535639535
c185544564,Nuclear Physics,1001105,476307,-0.6382771543338618,1.9586858775137037,-0.31554506057180587,-0.246539978831121
c194828623,Emergency Medicine,483954,249047,0.17395069459383708,1.0949106086124336,0.225553371602485,0.3929328163163238
c118615104,Discrete Mathematics,659701,269943,-2.7486796731841507,2.2981267033179766,-3.1260813130853,-2.2890543325205552
c8010536,Crystallography,1225206,798796,0.227129671550836,1.2798581158083802,0.4175703330648431,0.48310129471251206
c42972112,Veterinary Medicine,440775,193200,0.16187591967643886,1.5981392482917407,0.44628434000967954,0.481503769334787
c164705383,Cardiology,1587252,684538,0.0949280676214006,1.3306181268678516,0.23554027251843043,0.3610516929949709
c58640448,Cartography,941947,339391,-0.13822388497409474,1.7647743589283014,0.1743073299873593,0.21473098681156558
c43617362,Chromatography,2775948,1650124,0.4581144026522066,1.4919331824881936,0.6427289437692316,0.7565010391498453
c153911025,Molecular Biology,919051,525641,1.0422191546149937,0.7454806959524909,1.0053889495466084,1.1913152938054918
c526734887,Environmental Protection,242319,79325,0.6454492572207345,1.5374759202479658,0.880981231971838,0.9529444412703277
c133731056,Control Engineering,549653,190200,-1.2937415459844384,2.0807522457789265,-1.222955584320705,-0.8775910968286531
c199343813,Dentistry,754201,318976,-0.8034855541938734,2.3557222788526864,-0.17347846866883998,-0.33234109842333603
c548259974,Audiology,424692,235637,0.4178967430642748,1.408276801029289,0.6353381715753131,0.6995521032701326
c147789679,Physical Chemistry,2109694,1456094,0.3703221687795712,1.2714206526781948,0.468379920641199,0.6246062993152102
c21880701,Process Engineering,463291,178706,-0.03762028719774223,1.8433642495716227,0.20361761728982541,0.33105256271658234
c31903555,Food Science,1732000,853575,0.660689822648902,1.3762188831852027,0.878586137975342,0.9359335992859426
c199289684,Mineralogy,492750,279718,0.2054655698310194,1.6398135167095163,0.4273403805669698,0.5334282731729226
c46141821,Nuclear Magnetic Resonance,289922,184797,0.25818306650503786,1.6096748328084052,0.458003942966683,0.5801180330667189
c118487528,Ophthalmology,474769,219776,-0.29076578496230904,2.1714765584872535,0.43943978138842377,0.1435295267351417
c29694066,Orthodontics,410496,191017,-1.3625953698413367,2.2139962311893537,-1.11270191623162,-0.919796123603466
c134018914,Endocrinology,2740243,1544482,0.844294774744912,0.9750880842006945,0.9399070726079515,1.0393123915850508
c159985019,Composite Material,6472290,3756130,-0.08428722509080103,1.7411647874012355,0.265250696233432,0.2639457323894461
c70721500,Computational Biology,938256,501170,0.9969146272375656,0.8548559772322784,0.9466620347568329,1.1678858226840214
c26873012,Condensed Matter Physics,1159406,748613,-0.05893632203513057,1.2231677940099026,0.17693408949055625,0.18569723676684996
c33070731,Toxicology,309789,139792,0.782230601017017,1.5157409546256715,1.04379668359212,1.0853787919421514
c22212356,Transport Engineering,543475,152844,-0.5334061353625612,2.084721508291956,-0.288544340260915,-0.11646183370416996
c548081761,Waste Management,1187849,442661,0.1330414823747518,1.7449599424714148,0.392400141636846,0.4820334708690348
c524765639,Water Resource Management,233683,66776,0.3446420466125354,1.5211250988216094,0.6173634821718734,0.6488670663768573
c42219234,Anesthesia,1104058,523697,0.41148932213142864,1.3148930195686872,0.5734977189415039,0.674467926045166
c184779094,Atomic Physics,639387,412428,-0.2974627738591798,1.4556288457032749,-0.0414649627486751,-0.00633700471852483
c142724271,Pathology,5902606,2985133,0.46920644163877556,1.3920334495976174,0.6604408381878862,0.747613131558299
c97137747,Forestry,401316,117004,-0.014461984000828609,1.6061039877203207,0.341640680805006,0.3067588135432356
c13280743,Geodesy,597134,236982,-0.6960307167152161,2.000674220070464,-0.3803698265984939,-0.2958958727011233
c169760540,Neuroscience,2813935,1413431,0.44179299097273933,1.4484697693157,0.652509582272788,0.7314869448358794
c114614502,Combinatorics,1752772,725555,-1.6625018620197571,2.4509942637198074,-1.64575758599019,-1.1723030092757956
c126894567,Urology,364558,161344,0.06335226472624966,1.3514464146586984,0.19171598224355335,0.33364154765798937
c24890656,Acoustics,2049960,822837,-0.6630599085205241,2.1397956040192527,-0.24217713961595538,-0.23510078771667353
c42407357,Physiology,309370,159637,0.9334740812884375,1.2157486632885648,1.12262733526671,1.1766238139461505
c202444582,Pure Mathematics,2233271,866547,-1.8353662919580043,2.4133655215958685,-1.91784428588811,-1.3526931876388306
c62649853,Remote Sensing,967024,321228,-0.14277042321434663,1.8066041822696535,0.1577924808243255,0.21855041323958407
c71240020,Stereochemistry,835094,599008,0.7381508431065354,1.2876017411643683,0.8692753072475147,0.9956711913394092
c203014093,Immunology,2860431,1576507,0.8840102785651978,0.9559221866564697,0.935061408586847,1.0751947158964916
c134306372,Mathematical Analysis,4284906,1796745,-1.2508853375706699,2.227327316747165,-1.17097229112244,-0.8054198742212368
c155647269,Medicinal Chemistry,336577,223371,-0.04710943720402228,1.2866163483465543,-0.225820699892804,0.21021383246528857
c116915560,Nuclear Engineering,340710,134797,-1.203067777297496,2.3168561915776933,-0.875034881973323,-0.7396965389819574
c178790620,Organic Chemistry,8132668,5040501,0.4812102826594151,1.3720985360525957,0.6295616016619494,0.7556299898699343
c110354214,Engineering Management,421766,51576,-0.6488897917042288,2.4458477433810337,-0.41345944688415814,-0.159720243028022
c37621935,Agricultural Science,229335,44898,0.2637486727743779,1.998240940472583,0.678293422207478,0.6633968608688945
c94375191,Arithmetic,327374,117294,-1.2351962409960588,2.275689064782622,-0.987190705249616,-0.7800584280395344
c12554922,Biophysics,543605,377600,1.4431911447425774,0.918181026011326,1.3835376338800822,1.6268273499448425
c1862650,Physical Therapy,1390574,665378,0.31969570991997187,1.2818065605893663,0.47201241492348656,0.5760570220378451
c195094911,Process Management,674155,170849,-0.5324711659341055,1.8597328448218473,-0.483495325996335,-0.16052459696973598
c114793014,Geomorphology,662563,269703,-0.31123429992381857,1.6787030472654714,0.00874647540550023,0.024506309529275738
c13736549,Industrial Engineering,95924,33584,-0.6585873215799208,2.1016352689001474,-0.553498379588007,-0.23826026779989135
c49040817,Optoelectronics,2758616,1632133,0.0002815500477740612,1.4766628944253979,0.29135661934053525,0.29561412893285366
c24326235,Electronic Engineering,1354423,493201,-1.5962109690019881,2.4224124749091014,-1.5207119668876974,-1.1117284740201678
c99454951,Environmental Health,2915281,1470403,0.4394974974902871,1.316278124260032,0.5548887370084108,0.7027531223422936
c74650414,Classical Mechanics,983248,506292,-0.7539076396046713,1.9053201821682353,-0.55811201903582,-0.3728436031710243
c90856448,Zoology,792506,435890,0.15544416114366505,1.5569894511752491,0.41685405710708695,0.4668420513787149
c171146098,Automotive Engineering,722137,207950,-0.7915794155366879,2.0593729940266763,-0.598657966321931,-0.3797048167313526
c54355233,Genetics,6493970,3642465,0.6978058839253298,1.1407760062559555,0.7952111550666949,0.925961085176521
c17409809,Geochemistry,488536,214315,-0.5414495545997726,1.7725656605585034,-0.14507601311465934,-0.1869364224880719
c143998085,Oncology,1245158,526246,0.5609866256179392,0.8808973368375237,0.6653712688882589,0.737166092985444
c120665830,Optics,5228663,2643499,-0.19842062275577396,1.8247430796117665,0.174354407004447,0.16652799316657937
c119599485,Electrical Engineering,3831999,1438756,-0.862090276215651,2.1933036516493214,-0.47041396476762887,-0.42342954588578674
c147176958,Civil Engineering,666525,189328,-0.5241848488438295,2.0605841246804015,-0.20024181579055383,-0.11206802390774923
c147597530,Computational Chemistry,458068,352116,0.7089106438409722,1.0427823531294287,0.7276842080429468,0.917467114466858
c54286561,Agroforestry,363068,127445,0.2494054938977279,1.412683576305242,0.52324309442143,0.5319422091587763
c126255220,Mathematical Optimization,1299691,621045,-1.085434374550928,1.9763786038523234,-1.0646889544514608,-0.6901586537804634
c509550671,Medical Education,1402516,433016,-0.4604354191852266,1.9846825753173885,-0.17127721135632096,-0.06349890412174891
c89423630,Microbiology,1401689,793028,0.8320498928491824,1.1185430950518607,0.934215546097271,1.0557585118595545
c16674752,Mining Engineering,204183,43763,-0.39819045785519974,2.225452059076041,0.03662244403536306,0.04689995396000851
c159110408,Nursing,2001336,936948,0.21353859853401377,1.4052078236666952,0.3330851124206797,0.49458016326735277
c111368507,Oceanography,1875650,902820,0.026683964157539458,1.5473574414659004,0.30295952017118566,0.33615545245071954
c55587333,Engineering Ethics,622566,115018,-0.31505329448860625,2.353101307391104,-0.009535581860461086,0.15556696698961453
c30475298,Computational Physics,202015,122969,-0.6410465360813621,1.7852840023385945,-0.31961607540522524,-0.28398973561364316
c141071460,Surgery,4596970,2227902,-0.20653862137880732,1.6477042227936458,0.06157234020004371,0.12300222317992185
c76155785,Telecommunications,3613233,1246269,-0.9446147499565214,2.261097521472344,-0.6549309866615144,-0.4923952456620526
c33332235,Theoretical Physics,371566,154607,-1.248316437494072,1.7247504179845947,-1.44415437338396,-0.903366353897153
c88463610,Agricultural Engineering,142061,38284,0.4032912388664181,1.828224957208481,0.7517115397560705,0.7689362303081143
c186060115,Biological System,169347,108339,1.274394419316152,1.3814695837052304,1.34936062077353,1.5506883360571981
c42360764,Chemical Engineering,2641911,1886876,0.5315817670531485,1.1316764161506205,0.592590996664107,0.7579170502832726
c126348684,Polymer Science,127213,43063,0.6010205571207069,1.3735826795196338,0.7328094501227669,0.8757370930246337
c528095902,Pulp And Paper Industry,435248,205885,0.39512818354426177,1.4380084359194591,0.56625016939021,0.6827298707281536
c44154836,Simulation,589981,214425,-0.3102189709693984,2.1484724746153883,-0.0485283269568812,0.11947552395367927
c121864883,Statistical Physics,620624,341923,-0.053603994198067446,1.7554571266132046,0.16536548293510062,0.2974874311245735
c144027150,Horticulture,1068874,429506,0.1804159768020739,1.5635020889548006,0.450551784618116,0.493116394593034
c37914503,Mathematical Physics,494576,239703,-1.6626607204806296,1.8349587768944,-1.8835702633313804,-1.2956689651017497
c171250308,Nanotechnology,3454657,2238712,0.6489101513326971,1.2081341420457687,0.665303558041746,0.8905369797418509
c107826830,Environmental Resource Management,664204,242255,0.4807209757055644,1.5081579170788069,0.699268503494026,0.7823525591213258
c151730666,Paleontology,3921952,1773939,-0.2507095582139545,1.7815316054385675,0.09097350602765301,0.10559676287375902
c87717796,Environmental Engineering,774842,361242,0.35866896585751523,1.5534761346174137,0.586822154750465,0.669364192780998
c91375879,Environmental Planning,697624,187303,0.3324096688599124,1.7335673909690694,0.627986128748868,0.6791231470537263
